playerA_hand,playerA_ht,playerA_ioc,playerB_hand,playerB_ht,playerB_ioc,playerA_total_aces,playerA_total_df,playerB_total_aces,playerB_total_df,playerA_is_head,playerB_is_head,ranking_diff,age_diff,winner
R,3,FRA,R,2,other,1,1,1,1,false,false,3,2,A
R,2,other,R,1,other,1,1,1,1,false,false,4,3,A
R,3,other,R,2,other,1,1,1,1,false,false,2,3,A
L,2,other,R,4,USA,1,1,1,1,false,false,1,3,A
R,3,other,R,1,ESP,1,1,1,1,false,false,2,1,A
R,3,CZE,L,4,other,1,1,1,1,false,false,1,3,A
R,1,ARG,R,4,SUI,1,1,1,1,false,false,1,3,A
R,1,USA,R,2,USA,1,1,1,1,false,false,1,4,A
R,2,other,R,2,ITA,1,1,1,1,false,false,1,3,A
R,3,SVK,R,4,other,1,1,1,1,false,false,1,2,A
R,1,USA,R,2,USA,1,1,1,1,false,false,3,1,A
L,2,ITA,R,4,GER,1,1,1,1,false,false,2,4,A
R,3,other,R,3,BRA,1,1,1,1,false,false,4,1,A
R,3,GER,R,1,CZE,1,1,1,1,false,false,1,2,A
R,3,other,R,1,other,1,1,1,1,false,false,1,3,A
R,3,other,R,4,USA,1,1,1,1,false,false,4,1,A
R,2,other,R,3,FRA,1,1,1,1,false,false,4,4,A
R,3,other,L,2,other,1,1,1,1,false,false,1,4,A
R,3,CZE,R,3,other,1,1,1,1,false,false,1,4,A
R,1,ARG,R,1,USA,1,1,1,1,false,false,3,3,A
R,2,other,R,3,SVK,1,1,1,1,false,false,2,3,A
L,2,ITA,R,1,USA,1,1,1,1,false,false,4,4,A
R,3,GER,R,3,other,1,1,1,1,false,false,4,1,A
R,3,other,R,3,other,1,1,1,1,false,false,3,3,A
R,2,other,R,3,other,1,1,1,1,false,false,4,1,A
R,1,ARG,R,3,CZE,1,1,1,1,false,false,2,4,A
R,2,other,L,2,ITA,1,1,1,1,false,false,1,4,A
R,3,other,R,3,GER,1,1,1,1,false,false,4,1,A
R,2,other,R,1,ARG,1,1,1,1,false,false,4,4,A
R,2,other,R,3,other,1,1,1,1,false,false,4,2,A
R,2,other,R,2,other,1,1,1,1,false,false,4,1,A
R,2,USA,R,3,other,1,1,1,1,false,false,4,4,A
R,3,CZE,R,4,USA,1,1,1,1,false,false,1,2,A
R,1,CZE,R,3,other,1,1,1,1,false,false,2,4,A
L,2,USA,R,3,BRA,1,1,1,1,false,false,1,4,A
R,4,other,R,3,other,1,1,1,1,false,false,3,2,A
R,3,other,R,4,other,1,1,1,1,false,false,2,3,A
R,2,other,R,2,other,1,1,1,1,false,false,2,2,A
R,2,other,L,1,other,1,1,1,1,false,false,4,1,A
