playerA_hand,playerA_ht,playerA_ioc,playerB_hand,playerB_ht,playerB_ioc,playerA_total_aces,playerA_total_df,playerB_total_aces,playerB_total_df,playerA_is_head,playerB_is_head,ranking_diff,age_diff
R,185,FRA,R,180,AUS,8,1,13,4,false,false,63,3
R,183,CHI,R,173,PHI,4,2,0,0,false,false,213,4
R,185,THA,R,183,CAN,4,1,2,2,false,false,30,7
L,183,NED,R,196,USA,8,6,4,6,false,false,12,7
R,185,AUS,R,175,ESP,3,0,0,3,false,false,37,1
R,185,CZE,L,190,AUS,9,4,11,8,false,false,10,7
R,178,ARG,R,190,SUI,4,11,5,5,false,false,8,5
R,178,USA,R,180,USA,1,1,0,0,false,false,12,12
R,183,CHI,R,180,ITA,2,2,2,3,false,false,8,7
R,188,SVK,R,193,SWE,7,2,3,2,false,false,8,2
R,173,USA,R,183,USA,1,4,2,1,false,false,74,1
L,180,ITA,R,201,GER,1,3,2,2,false,false,33,11
R,185,ROU,R,185,BRA,4,1,3,5,false,false,120,0
R,188,GER,R,178,CZE,7,0,4,0,false,false,10,2
R,185,BEL,R,178,IND,0,0,3,5,false,false,10,7
R,185,PAR,R,190,USA,5,3,15,5,false,false,149,1
R,183,CHI,R,185,FRA,7,9,11,2,false,false,239,8
R,185,THA,L,183,NED,6,5,16,9,false,false,4,10
R,185,CZE,R,185,AUS,12,6,16,3,false,false,18,8
R,178,ARG,R,178,USA,13,12,2,4,false,false,41,7
R,183,CHI,R,188,SVK,9,2,10,5,false,false,36,5
L,180,ITA,R,173,USA,6,4,2,6,false,false,93,12
R,188,GER,R,185,ROU,19,4,11,3,false,false,105,0
R,185,PAR,R,185,BEL,12,3,2,3,false,false,68,4
R,183,CHI,R,185,THA,11,13,11,8,false,false,249,1
R,178,ARG,R,185,CZE,26,14,12,9,false,false,28,8
R,183,CHI,L,180,ITA,10,3,8,5,false,false,17,14
R,185,PAR,R,188,GER,17,3,20,6,false,false,116,1
R,183,CHI,R,178,ARG,16,20,32,23,false,false,232,11
R,183,CHI,R,185,PAR,14,4,21,4,false,false,127,3
R,183,CHI,R,183,CHI,23,28,19,7,false,false,263,1
R,180,USA,R,185,BEL,3,4,5,7,false,false,150,10
R,185,CZE,R,196,USA,17,10,8,9,false,false,7,2
R,175,CZE,R,185,SWE,0,0,2,9,false,false,35,13
L,180,USA,R,185,BRA,6,1,4,8,false,false,14,9
R,193,SWE,R,188,NOR,4,2,2,4,false,false,60,3
R,185,AUS,R,193,SWE,20,3,3,6,false,false,23,7
R,183,CHI,R,180,AUS,22,8,2,0,false,false,38,3
R,180,ARM,L,175,PHI,2,0,1,1,false,false,317,1
R,188,USA,R,178,RUS,8,2,7,7,false,false,80,4
R,178,AUS,R,180,USA,2,4,1,2,false,false,75,6
R,185,ESP,R,180,USA,3,1,3,2,false,false,63,1
R,175,USA,R,188,ITA,1,4,2,2,false,false,69,1
R,180,AUS,R,178,CZE,20,7,5,3,false,false,26,1
